,timesteps,ep_reward,num_updates,episodes
120,25,25.0,0,120
121,30,30.0,0,121
122,26,26.0,0,122
123,64,64.0,0,123
124,65,65.0,0,124
125,30,30.0,0,125
126,27,27.0,0,126
127,53,53.0,0,127
128,10,10.0,0,128
129,83,83.0,0,129
130,16,16.0,0,130
131,48,48.0,0,131
132,21,21.0,0,132
133,31,31.0,0,133
134,17,17.0,0,134
135,46,46.0,0,135
136,30,30.0,0,136
137,19,19.0,0,137
138,11,11.0,0,138
139,52,52.0,0,139
140,18,18.0,0,140
141,18,18.0,0,141
142,11,11.0,0,142
143,45,45.0,0,143
144,60,60.0,0,144
145,54,54.0,1,145
146,16,16.0,0,146
147,17,17.0,0,147
148,99,99.0,0,148
149,13,13.0,0,149
150,38,38.0,0,150
151,41,41.0,0,151
152,39,39.0,0,152
153,46,46.0,0,153
154,54,54.0,0,154
155,37,37.0,0,155
156,31,31.0,0,156
157,100,100.0,0,157
158,27,27.0,0,158
159,54,54.0,0,159
160,40,40.0,0,160
161,91,91.0,0,161
162,20,20.0,0,162
163,60,60.0,0,163
164,16,16.0,0,164
165,53,53.0,0,165
166,54,54.0,0,166
167,51,51.0,0,167
168,68,68.0,0,168
169,56,56.0,0,169
170,43,43.0,0,170
171,76,76.0,0,171
172,21,21.0,0,172
173,25,25.0,0,173
174,60,60.0,0,174
175,97,97.0,0,175
176,26,26.0,0,176
177,14,14.0,0,177
178,67,67.0,0,178
179,59,59.0,0,179
180,53,53.0,0,180
181,100,100.0,0,181
182,41,41.0,0,182
183,12,12.0,0,183
184,80,80.0,0,184
185,39,39.0,0,185
186,100,100.0,1,186
187,48,48.0,0,187
188,23,23.0,0,188
189,40,40.0,0,189
190,100,100.0,0,190
191,100,100.0,0,191
192,64,64.0,0,192
193,67,67.0,0,193
194,100,100.0,0,194
195,65,65.0,0,195
196,19,19.0,0,196
197,88,88.0,0,197
198,100,100.0,0,198
199,62,62.0,0,199
200,52,52.0,0,200
201,45,45.0,0,201
202,45,45.0,0,202
203,42,42.0,0,203
204,28,28.0,0,204
205,74,74.0,0,205
206,28,28.0,0,206
207,29,29.0,0,207
208,81,81.0,0,208
209,19,19.0,0,209
210,100,100.0,0,210
211,35,35.0,0,211
212,100,100.0,0,212
213,28,28.0,0,213
214,57,57.0,0,214
215,17,17.0,0,215
216,30,30.0,0,216
217,100,100.0,0,217
218,100,100.0,0,218
219,33,33.0,1,219
220,100,100.0,0,220
221,100,100.0,0,221
222,64,64.0,0,222
223,100,100.0,0,223
224,92,92.0,0,224
225,100,100.0,0,225
226,61,61.0,0,226
227,50,50.0,0,227
228,100,100.0,0,228
229,76,76.0,0,229
230,100,100.0,0,230
231,100,100.0,0,231
232,55,55.0,0,232
233,100,100.0,0,233
234,100,100.0,0,234
235,70,70.0,0,235
236,86,86.0,0,236
237,100,100.0,0,237
238,100,100.0,0,238
239,61,61.0,0,239
240,100,100.0,0,240
241,100,100.0,0,241
242,100,100.0,1,242
243,100,100.0,0,243
244,63,63.0,0,244
245,100,100.0,0,245
246,67,67.0,0,246
247,100,100.0,0,247
248,100,100.0,0,248
249,100,100.0,0,249
250,100,100.0,0,250
251,100,100.0,0,251
252,100,100.0,0,252
253,100,100.0,0,253
254,87,87.0,0,254
255,100,100.0,0,255
256,100,100.0,0,256
257,100,100.0,0,257
258,100,100.0,0,258
259,100,100.0,0,259
260,100,100.0,0,260
261,100,100.0,0,261
262,65,65.0,0,262
263,100,100.0,0,263
264,100,100.0,1,264
265,100,100.0,0,265
266,100,100.0,0,266
267,100,100.0,0,267
268,100,100.0,0,268
269,100,100.0,0,269
270,100,100.0,0,270
271,100,100.0,0,271
272,100,100.0,0,272
273,100,100.0,0,273
274,100,100.0,0,274
275,100,100.0,0,275
276,100,100.0,0,276
277,74,74.0,0,277
278,88,88.0,0,278
279,84,84.0,0,279
280,100,100.0,0,280
281,100,100.0,0,281
282,100,100.0,0,282
283,100,100.0,0,283
284,100,100.0,1,284
285,89,89.0,0,285
286,100,100.0,0,286
287,100,100.0,0,287
288,100,100.0,0,288
