,timesteps,ep_reward,num_updates,episodes
0,31,31.0,0,0
1,15,15.0,0,1
2,19,19.0,0,2
3,10,10.0,0,3
4,10,10.0,0,4
5,15,15.0,0,5
6,25,25.0,0,6
7,13,13.0,0,7
8,25,25.0,0,8
9,15,15.0,0,9
10,20,20.0,0,10
11,29,29.0,0,11
12,16,16.0,0,12
13,24,24.0,0,13
14,32,32.0,0,14
15,12,12.0,0,15
16,15,15.0,0,16
17,18,18.0,0,17
18,22,22.0,0,18
19,21,21.0,0,19
20,25,25.0,0,20
21,12,12.0,0,21
22,17,17.0,0,22
23,21,21.0,0,23
24,50,50.0,0,24
25,32,32.0,0,25
26,25,25.0,0,26
27,14,14.0,0,27
28,13,13.0,0,28
29,56,56.0,0,29
30,50,50.0,0,30
31,47,47.0,0,31
32,33,33.0,0,32
33,32,32.0,0,33
34,23,23.0,0,34
35,20,20.0,0,35
36,15,15.0,0,36
37,12,12.0,0,37
38,15,15.0,0,38
39,10,10.0,0,39
40,17,17.0,0,40
41,12,12.0,0,41
42,31,31.0,0,42
43,18,18.0,0,43
44,9,9.0,0,44
45,11,11.0,0,45
46,14,14.0,0,46
47,19,19.0,0,47
48,23,23.0,0,48
49,10,10.0,0,49
50,73,73.0,0,50
51,14,14.0,0,51
52,13,13.0,0,52
53,18,18.0,0,53
54,23,23.0,0,54
55,18,18.0,0,55
56,13,13.0,0,56
57,11,11.0,0,57
58,19,19.0,0,58
59,37,37.0,0,59
60,19,19.0,0,60
61,34,34.0,0,61
62,15,15.0,0,62
63,44,44.0,0,63
64,18,18.0,0,64
65,31,31.0,0,65
66,9,9.0,0,66
67,14,14.0,0,67
68,12,12.0,0,68
69,22,22.0,0,69
70,44,44.0,0,70
71,18,18.0,0,71
72,20,20.0,0,72
73,21,21.0,0,73
74,16,16.0,0,74
75,23,23.0,0,75
76,34,34.0,0,76
77,33,33.0,0,77
78,15,15.0,0,78
79,12,12.0,0,79
80,26,26.0,0,80
81,32,32.0,0,81
82,18,18.0,0,82
83,24,24.0,0,83
84,13,13.0,0,84
85,17,17.0,0,85
86,12,12.0,0,86
87,14,14.0,0,87
88,10,10.0,0,88
89,23,23.0,0,89
90,12,12.0,0,90
91,18,18.0,0,91
92,10,10.0,0,92
93,44,44.0,1,93
94,31,31.0,0,94
95,33,33.0,0,95
96,17,17.0,0,96
97,34,34.0,0,97
98,18,18.0,0,98
99,13,13.0,0,99
100,34,34.0,0,100
101,45,45.0,0,101
102,97,97.0,0,102
103,13,13.0,0,103
104,20,20.0,0,104
105,16,16.0,0,105
106,50,50.0,0,106
107,17,17.0,0,107
108,15,15.0,0,108
109,11,11.0,0,109
110,61,61.0,0,110
111,21,21.0,0,111
112,18,18.0,0,112
113,21,21.0,0,113
114,26,26.0,0,114
115,35,35.0,0,115
116,28,28.0,0,116
117,13,13.0,0,117
118,49,49.0,0,118
119,34,34.0,0,119
120,17,17.0,0,120
121,56,56.0,0,121
122,27,27.0,0,122
123,26,26.0,0,123
124,19,19.0,0,124
125,17,17.0,0,125
126,23,23.0,0,126
127,14,14.0,0,127
128,21,21.0,0,128
129,77,77.0,0,129
130,39,39.0,0,130
131,40,40.0,0,131
132,15,15.0,0,132
133,12,12.0,0,133
134,23,23.0,0,134
135,25,25.0,0,135
136,32,32.0,0,136
137,36,36.0,0,137
138,48,48.0,0,138
139,20,20.0,0,139
140,15,15.0,0,140
141,18,18.0,0,141
142,26,26.0,0,142
143,10,10.0,0,143
144,21,21.0,0,144
145,17,17.0,0,145
146,33,33.0,0,146
147,14,14.0,0,147
148,11,11.0,0,148
149,16,16.0,0,149
150,23,23.0,0,150
151,64,64.0,0,151
152,36,36.0,0,152
153,22,22.0,0,153
154,11,11.0,0,154
155,17,17.0,0,155
156,12,12.0,0,156
157,100,100.0,0,157
158,22,22.0,0,158
159,15,15.0,0,159
160,30,30.0,0,160
161,11,11.0,0,161
162,16,16.0,0,162
163,15,15.0,0,163
164,22,22.0,0,164
165,25,25.0,1,165
166,99,99.0,0,166
167,71,71.0,0,167
168,33,33.0,0,168
169,27,27.0,0,169
170,24,24.0,0,170
171,71,71.0,0,171
172,16,16.0,0,172
173,39,39.0,0,173
174,35,35.0,0,174
175,56,56.0,0,175
176,84,84.0,0,176
177,18,18.0,0,177
178,37,37.0,0,178
179,28,28.0,0,179
180,22,22.0,0,180
181,84,84.0,0,181
182,29,29.0,0,182
183,25,25.0,0,183
184,63,63.0,0,184
185,19,19.0,0,185
186,69,69.0,0,186
187,13,13.0,0,187
188,52,52.0,0,188
189,35,35.0,0,189
190,25,25.0,0,190
191,78,78.0,0,191
192,42,42.0,0,192
193,31,31.0,0,193
194,75,75.0,0,194
195,23,23.0,0,195
196,76,76.0,0,196
197,53,53.0,0,197
198,17,17.0,0,198
199,23,23.0,0,199
200,15,15.0,0,200
201,67,67.0,0,201
202,18,18.0,0,202
203,100,100.0,0,203
204,37,37.0,0,204
205,20,20.0,0,205
206,24,24.0,0,206
207,61,61.0,0,207
208,94,94.0,0,208
209,15,15.0,0,209
210,26,26.0,0,210
211,40,40.0,1,211
212,67,67.0,0,212
213,43,43.0,0,213
214,100,100.0,0,214
215,20,20.0,0,215
216,100,100.0,0,216
217,100,100.0,0,217
218,26,26.0,0,218
219,38,38.0,0,219
220,100,100.0,0,220
221,23,23.0,0,221
222,27,27.0,0,222
223,34,34.0,0,223
224,25,25.0,0,224
225,17,17.0,0,225
226,96,96.0,0,226
227,38,38.0,0,227
228,48,48.0,0,228
229,38,38.0,0,229
230,21,21.0,0,230
231,43,43.0,0,231
232,46,46.0,0,232
233,24,24.0,0,233
234,20,20.0,0,234
235,60,60.0,0,235
236,100,100.0,0,236
237,29,29.0,0,237
238,100,100.0,0,238
239,11,11.0,0,239
240,19,19.0,0,240
241,40,40.0,0,241
242,14,14.0,0,242
243,100,100.0,0,243
244,87,87.0,0,244
245,74,74.0,0,245
246,100,100.0,0,246
247,34,34.0,0,247
248,16,16.0,0,248
249,70,70.0,0,249
250,100,100.0,1,250
251,73,73.0,0,251
252,98,98.0,0,252
253,100,100.0,0,253
254,30,30.0,0,254
255,66,66.0,0,255
256,100,100.0,0,256
257,100,100.0,0,257
258,100,100.0,0,258
259,94,94.0,0,259
260,100,100.0,0,260
261,52,52.0,0,261
262,100,100.0,0,262
263,100,100.0,0,263
264,22,22.0,0,264
265,26,26.0,0,265
266,100,100.0,0,266
267,33,33.0,0,267
268,35,35.0,0,268
269,100,100.0,0,269
270,54,54.0,0,270
271,100,100.0,0,271
272,100,100.0,0,272
273,100,100.0,0,273
274,72,72.0,0,274
275,86,86.0,1,275
276,100,100.0,0,276
277,100,100.0,0,277
278,100,100.0,0,278
279,100,100.0,0,279
280,100,100.0,0,280
281,100,100.0,0,281
282,100,100.0,0,282
283,100,100.0,0,283
284,93,93.0,0,284
285,100,100.0,0,285
286,100,100.0,0,286
287,100,100.0,0,287
288,100,100.0,0,288
289,100,100.0,0,289
290,100,100.0,0,290
291,67,67.0,0,291
292,100,100.0,0,292
293,100,100.0,0,293
294,100,100.0,0,294
295,100,100.0,0,295
296,100,100.0,1,296
297,100,100.0,0,297
298,100,100.0,0,298
299,100,100.0,0,299
300,100,100.0,0,300
301,100,100.0,0,301
302,100,100.0,0,302
303,100,100.0,0,303
304,82,82.0,0,304
305,95,95.0,0,305
306,100,100.0,0,306
307,100,100.0,0,307
308,100,100.0,0,308
309,100,100.0,0,309
310,100,100.0,0,310
311,100,100.0,0,311
312,100,100.0,0,312
313,98,98.0,0,313
314,100,100.0,0,314
315,100,100.0,0,315
316,100,100.0,1,316
317,100,100.0,0,317
318,100,100.0,0,318
319,100,100.0,0,319
320,100,100.0,0,320
321,100,100.0,0,321
322,100,100.0,0,322
323,100,100.0,0,323
324,100,100.0,0,324
325,100,100.0,0,325
326,100,100.0,0,326
327,100,100.0,0,327
328,100,100.0,0,328
329,100,100.0,0,329
330,100,100.0,0,330
331,100,100.0,0,331
332,100,100.0,0,332
333,100,100.0,0,333
334,100,100.0,0,334
335,100,100.0,0,335
336,100,100.0,1,336
337,100,100.0,0,337
338,100,100.0,0,338
339,100,100.0,0,339
340,100,100.0,0,340
341,100,100.0,0,341
342,100,100.0,0,342
343,100,100.0,0,343
344,100,100.0,0,344
345,100,100.0,0,345
346,100,100.0,0,346
347,100,100.0,0,347
348,100,100.0,0,348
349,100,100.0,0,349
350,15,15.0,0,350
351,100,100.0,0,351
352,100,100.0,0,352
353,100,100.0,0,353
354,22,22.0,0,354
355,100,100.0,0,355
356,100,100.0,0,356
357,100,100.0,0,357
358,100,100.0,1,358
359,100,100.0,0,359
360,100,100.0,0,360
361,100,100.0,0,361
362,100,100.0,0,362
363,100,100.0,0,363
364,100,100.0,0,364
365,100,100.0,0,365
366,100,100.0,0,366
367,100,100.0,0,367
368,100,100.0,0,368
369,100,100.0,0,369
370,100,100.0,0,370
371,100,100.0,0,371
372,100,100.0,0,372
373,100,100.0,0,373
374,100,100.0,0,374
375,100,100.0,0,375
376,100,100.0,0,376
377,100,100.0,0,377
378,100,100.0,1,378
379,39,39.0,0,379
380,44,44.0,0,380
381,94,94.0,0,381
382,100,100.0,0,382
383,100,100.0,0,383
384,100,100.0,0,384
385,100,100.0,0,385
386,100,100.0,0,386
387,100,100.0,0,387
388,26,26.0,0,388
389,100,100.0,0,389
390,85,85.0,0,390
391,100,100.0,0,391
392,100,100.0,0,392
393,98,98.0,0,393
394,100,100.0,0,394
395,16,16.0,0,395
396,96,96.0,0,396
397,100,100.0,0,397
