,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.24
1,20,1.0,199,4000,-0.08
2,20,0.0,299,6000,-0.14
3,20,-1.0,399,8000,-0.12
4,20,1.0,499,10000,0.04
5,20,0.0,599,12000,0.16
6,20,1.0,699,14000,0.1
7,20,0.0,799,16000,0.14
8,20,2.0,899,18000,0.18
9,20,0.0,999,20000,0.33
10,20,1.0,1099,22000,0.54
11,20,0.0,1199,24000,0.42
12,20,0.0,1299,26000,0.66
13,20,-1.0,1399,28000,0.59
14,20,0.0,1499,30000,0.64
15,20,0.0,1599,32000,0.63
16,20,2.0,1699,34000,0.65
17,20,1.0,1799,36000,0.55
18,20,0.0,1899,38000,0.79
19,20,0.0,1999,40000,0.82
20,20,2.0,2099,42000,0.57
21,20,2.0,2199,44000,0.79
22,20,0.0,2299,46000,0.85
23,20,1.0,2399,48000,0.64
24,20,2.0,2499,50000,0.76
25,20,0.0,2599,52000,0.72
26,20,2.0,2699,54000,0.86
27,20,2.0,2799,56000,0.79
28,20,0.0,2899,58000,0.72
29,20,1.0,2999,60000,0.75
30,20,2.0,3099,62000,0.74
31,20,1.0,3199,64000,0.81
32,20,2.0,3299,66000,0.96
33,20,0.0,3399,68000,0.91
34,20,2.0,3499,70000,0.96
35,20,1.0,3599,72000,1.04
36,20,2.0,3699,74000,0.9
37,20,1.0,3799,76000,1.03
38,20,0.0,3899,78000,0.82
39,20,1.0,3999,80000,0.8
40,20,0.0,4099,82000,1.07
41,20,1.0,4199,84000,0.82
42,20,0.0,4299,86000,1.02
43,20,2.0,4399,88000,0.93
44,20,1.0,4499,90000,0.89
45,20,1.0,4599,92000,1.06
46,20,1.0,4699,94000,1.0
47,20,1.0,4799,96000,0.97
48,20,1.0,4899,98000,0.98
49,20,2.0,4999,100000,1.15
