,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.01
1,20,0.0,199,4000,0.02
2,20,0.0,299,6000,0.03
3,20,-1.0,399,8000,0.06
4,20,0.0,499,10000,0.08
5,20,0.0,599,12000,0.09
6,20,0.0,699,14000,0.2
7,20,0.0,799,16000,0.09
8,20,0.0,899,18000,0.34
9,20,1.0,999,20000,0.36
10,20,2.0,1099,22000,0.39
11,20,0.0,1199,24000,0.47
12,20,1.0,1299,26000,0.6
13,20,0.0,1399,28000,0.66
14,20,1.0,1499,30000,0.68
15,20,-1.0,1599,32000,0.74
16,20,1.0,1699,34000,0.87
17,20,1.0,1799,36000,0.88
18,20,2.0,1899,38000,0.88
19,20,0.0,1999,40000,0.83
20,20,0.0,2099,42000,0.99
21,20,1.0,2199,44000,0.93
22,20,1.0,2299,46000,0.91
23,20,-1.0,2399,48000,0.88
24,20,2.0,2499,50000,0.95
25,20,2.0,2599,52000,0.89
26,20,0.0,2699,54000,1.08
27,20,2.0,2799,56000,0.97
28,20,1.0,2899,58000,1.14
29,20,1.0,2999,60000,0.94
30,20,0.0,3099,62000,1.17
31,20,0.0,3199,64000,1.09
32,20,2.0,3299,66000,1.15
33,20,2.0,3399,68000,1.08
34,20,1.0,3499,70000,1.02
35,20,1.0,3599,72000,1.23
36,20,2.0,3699,74000,1.05
37,20,2.0,3799,76000,1.25
38,20,1.0,3899,78000,1.13
39,20,1.0,3999,80000,1.14
40,20,1.0,4099,82000,1.19
41,20,1.0,4199,84000,1.0
42,20,1.0,4299,86000,1.17
43,20,1.0,4399,88000,1.16
44,20,2.0,4499,90000,1.24
45,20,0.0,4599,92000,1.22
46,20,0.0,4699,94000,1.1
47,20,0.0,4799,96000,1.2
48,20,2.0,4899,98000,1.17
49,20,2.0,4999,100000,1.17
